skill_level,cooking_time,prep_time,serves,carbohydrate,kcal,protein,salt,saturatedfat,fat,sugar,ingredients
Easy,0,600,0,,,,,,,0,lemon lime lemon lime peach lemonade strawberry sparkling water mint
Easy,6600,900,4,32,746,50,3.1,27,47,25,chicken fish sauce coconut milk lemongrass lime leaf ginger coconut cream coconut milk palm sugar fish sauce lime leaf lemongrass galangal sugar snap peas beansprout coriander
Easy,4500,1500,0,9,34,1,0.26,,1,4,green tomato onion salt sultana cooking apple light muscovado sugar vinegar
Easy,1500,1200,0,37,240,3,0.6,5,8,21,plain flour baking powder bicarbonate of soda granulated sugar unsalted butter buttermilk egg maple syrup vanilla extract blueberry icing sugar
Easy,1800,2400,0,22,168,5,0.49,1,7,6,red pepper yellow pepper olive oil aubergine courgette loaf red onion pesto basil leaf
Easy,1800,600,8,32,204,4,1.1,4,6,3,floury potatoes milk butter smoked sea salt
More effort,2400,2700,0,73,403,5,0.57,7,12,41,plain flour butter mixed spice ground ginger bicarbonate of soda sugar egg golden syrup icing sugar icing
Easy,4200,900,4,13,367,35,3.8,12,19,11,pumpkin sage leaves maple syrup banana shallot butter venison loin Sichuan peppercorns salt rosemary
Easy,900,900,0,15,140,2,0.1,4,9,7,butter golden caster sugar vanilla extract plain flour pistachio dried cranberries
Easy,1500,600,2,40,407,29,0.5,3,12,17,ginger orange duck breasts sweet potatoes potato rapeseed oil onion garlic clove broccoli florets Brussels sprout vegetable bouillon powder parsley
Easy,900,600,2,19,519,13,2.1,6,42,3,extra virgin olive oil onion potato artichoke heart garlic clove chilli flakes egg parsley
Easy,3600,1200,4,59,820,75,5,12,34,21,olive oil onion garlic clove chilli powder cumin oregano minced beef tomato beef stock cube red pepper sundried tomato red kidney beans
Easy,600,1200,4,5,307,21,1.1,7,22,5,butter salmon fillets soy sauce honey sesame seeds spring onion cucumber sesame oil
Easy,4800,1500,4,37,689,53,1.4,13,36,8,chicken lemon garlic clove rosemary butter potato carrot olive oil chicken stock soy sauce
Easy,1500,300,0,15,170,9,0.22,2,7,5,potato rapeseed oil butter courgette yellow pepper red pepper spring onion garlic clove thyme egg toast
More effort,3600,900,6,35,623,10,0.59,26,50,0,shortcrust pastry butter olive oil onion egg double cream parmesan
More effort,4800,1500,6,73,998,18,1.1,28,72,47,puff pastry flour peach cr̬me frąche almond almond mascarpone butter golden caster sugar egg almond
Easy,2400,900,12,39,362,6,0.5,9,20,23,puff pastry self-raising flour cherry madeira cake butter ground almond golden caster sugar medium egg almond extract flaked almond icing sugar
Easy,900,1200,0,13,91,1,0.1,2,5,8,mincemeat pecan ground cinnamon maple syrup plain flour puff pastry icing sugar
Easy,0,900,0,11,54,1,0.9,,1,11,chilli lime fish sauce Little Gem lettuce carrot radish spring onion coriander
Easy,2700,1200,8,2,424,8,0.4,25,42,2,kale butter garlic clove nutmeg purple sprouting broccoli double cream fontina parmesan
Easy,1200,1800,0,87,667,5,0.8,21,33,76,butter light muscovado sugar large egg self-raising flour milk caramel Nestl̩ Carnation Caramel cream cheese salted butter golden icing sugar
Easy,0,0,4,6,28,1,0.02,,,1,coriander mint chilli mango cumin golden caster sugar lemon natural yogurt
Easy,5400,0,8,45,491,9,0.68,13,32,23,ground almond butter golden caster sugar self-raising flour ground cinnamon egg strawberry icing sugar double cream
Easy,1800,600,0,19,187,7,0.5,1,8,10,olive oil onion carrot celery stick passata tomato chicken stock cream orzo parmesan
Easy,600,0,4,1,181,9,0.99,7,16,0,mushroom blue cheese walnut thyme butter rocket
Easy,1200,300,0,31,363,11,0.2,12,20,8,onion garlic clove carrot ginger oil turmeric cardamom pod cumin red lentil coconut milk lemon chilli flakes parsley
Easy,0,300,1,3,70,0.4,0.01,,,3,porter champagne
Easy,7200,1500,8,21,102,2,0.03,,1,19,red cabbage onion port cinnamon stick clove star anise brown sugar red wine vinegar pear
Easy,2700,300,8,15,256,5,0.48,12,20,6,onion bay leaf butter milk clove nutmeg double cream white bread
Easy,300,300,6,3,258,29,0.3,6,14,3,lamb steaks jerk paste or marinade lime honey thyme leaves
Easy,2400,1200,6,60,574,28,1.11,8,27,6,olive oil pork garlic clove onion chorizo paella rice smoked paprika cherry tomato vegetable stock baby spinach clam
Easy,23400,1800,6,31,274,14,0.9,6,10,8,garlic clove chopped tomato oregano chilli flakes aubergine courgette red pepper beef tomato basil baguette mozzarella salad
Easy,360,600,0,8,228,32,2.21,3,8,8,sirloin steak sauce sesame seed white wine vinegar soy sauce cucumber spring onion chilli coriander
Easy,1200,1200,2,111,948,8,1.4,33,54,86,brown sugar double cream butter brown sugar large egg vanilla extract plain flour ice cream
Easy,5700,1500,5,51.7,485,40.1,0.6,1.5,11.7,7.1,garlic clove ginger ground cinnamon turmeric natural yogurt chicken breast semi-skimmed milk saffron onion rapeseed oil chilli powder cinnamon stick cardamom pod clove cumin seed basmati rice chicken stock garam masala coriander
Easy,2700,600,4,7,340,28,2.35,7,23,6,chicken leg lemon broccoli garlic clove ginger light soy sauce clear honey sesame seed sesame oil
Easy,600,300,2,16,671,34,0.29,8,53,0,mackerel plain flour smoked paprika extra-virgin olive oil orange harissa paste pine nut coriander
Easy,1200,900,0,53,389,5,0.3,9,19,36,self-raising flour cocoa powder muscovado sugar unsalted butter sunflower oil natural yogurt vanilla extract egg unsalted butter milk vanilla extract icing sugar food colouring sweet
Easy,4200,0,4,14,290,19,0.6,3,18,0,prawn garlic clove bay leaf extra-virgin olive oil butter shallot arborio rice wine tomato pur̩e parsley
More effort,9000,0,0,21,478,8,0.47,20,40,1,shortcrust pastry egg basil olive oil onion celery garlic clove tomato passata tomato pur̩e bay leaf dark muscovado sugar wine double cream saffron egg
Easy,0,300,3,36,163,2,0.04,0.1,1,35,kiwi fruit mango pineapple juice banana
Easy,1800,300,4,70,334,9,1.36,1,4,9,oil onion risotto rice white wine chopped tomato roasted pepper vegetable stock flat-leaf parsley parmesan
Easy,2100,1500,4,12,242,33,0.7,2,7,6,olive oil chicken thigh onion green pepper celery garlic clove cayenne pepper smoked paprika ground cumin thyme bay leaf plain flour chopped tomato chicken stock okra sage crusty bread
Easy,3000,0,6,47,435,23,3.77,4,18,2,egg noodle sesame oil groundnut oil garlic root ginger spring onion minced pork bean bean rice wine soy sauce salt pepper chilli caster sugar chicken stock spring onion
Easy,0,0,2,14,185,5,2.99,7,12,1,carrot turnip sherry soy sauce courgette asparagus mushroom butter spring onion tofu
Easy,1200,1200,2,54,389,15,3.1,3,11,11,rice canap̩s carrot cucumber edamame coriander sesame seeds sweet chilli sauce soy sauce sesame oil
Easy,600,300,2,5,216,17,0.6,8,13,5,Portobello mushroom ricotta parmesan mozzarella tarragon rocket
Easy,1800,600,0,12,44,,,,,12,rhubarb sugar vanilla pod lemon
Easy,1200,300,2,99,609,20,0.63,10,18,13,onion butter basmati rice dill vegetable stock frozen mixed vegetable Greek yogurt milk garlic clove
Easy,1200,900,4,20,236,6,,2,15,8,quinoa peach hazelnut mint parsley olive oil lemon
Easy,1200,600,2,22,379,36,0.63,3,17,4,salmon fillet wholegrain mustard lemon juice celeriac potato frozen pea
Easy,3000,1200,0,38,328,5,0.8,9,17,22,butter soft light brown sugar golden caster sugar vanilla extract large egg plain flour bicarbonate of soda full-fat milk dark chocolate peanut butter pretzel sea salt
Easy,1500,1200,6,40,294,12,0.1,1,8,5,quinoa pearled spelt lemon pomegranate molasses rapeseed oil mixed spice preserved lemon flat-leaf parsley dill mint fennel bulb pumpkin seeds
Easy,2700,1500,2,44,471,29,3.83,8,18,15,beef stock onion ginger cinnamon stick star anise coriander seeds cloves sirloin steak palm sugar fish sauce soy sauce rice noodles spring onion chilli Thai basil lime
Easy,2100,1200,4,9,373,43,0.7,4,17,8,onion garlic cloves ginger red chilli vegetable oil turmeric ground cumin coriander chilli powder chicken breast chopped tomatoes coriander rice
Easy,1500,300,2,9,429,40,0.9,8,25,8,olive oil shallot garlic clove bay leaf chopped tomato sherry vinegar butter trout olive basil extra-virgin olive oil
Easy,3600,900,8,82,457,10,0.4,1,10,15,butter onion basmati rice dried cranberries vegetable stock bay leaf thyme sprig flat-leaf parsley flaked almond orange olive oil lemon juice
Easy,2400,600,12,16,213,3,0.2,9,15,5,shortcrust pastry double cream milk vanilla bean paste nutmeg egg yolks caster sugar
A challenge,0,0,0,,,,,,,0,damson lemon preserving sugar
Easy,1200,1200,4,22,324,12,0.29,7,21,7,new potato egg runner bean radish Little Gem lettuce olive oil white wine vinegar English mustard single cream cayenne pepper
Easy,120,300,1,104,576,8,1.4,2,13,43,dairy-free milk lemon zest lemon juice sunflower oil self-raising flour caster sugar bicarbonate of soda raspberries coconut cream
Easy,1200,900,0,24,315,5,0.5,8,22,10,shortcrust pastry plain flour butter caster sugar large egg ground almond blackberry flaked almond clotted cream
Easy,1800,2700,0,83,924,14,0.86,25,57,38,shortcrust pastry lemon double cream ground almond egg butter limoncello plum golden caster sugar
Easy,600,1200,4,36,457,34,2.53,10,21,2,watercress cr̬me frąche lime bacon chicken baguette
Easy,0,0,2,30,329,16,1.42,3,17,0,olive oil onion back bacon cannellini bean tomato basil Tabasco sauce
Easy,0,300,2,33,346,31,0.9,3,9,11,sweet potato wrap chicken salad leaf cherry tomato
Easy,900,600,4,33,820,17,3.1,6,68,6,bread anchovy fillet red wine vinegar Dijon mustard garlic cloves large egg vegetable oil Parmigiano-Reggiano Little Gem lettuce
Easy,900,3600,2,76,814,28,4.2,10,40,20,rapeseed oil shallot garlic clove peaches brown sugar cider vinegar salt soy sauce cinnamon curry powder porcini oil button mushroom butter bean garlic clove ciabatta cherry tomato caper basil sundried tomato avocado lemon chives pea shoot cheddar
Easy,0,600,8,49,266,6,0.11,22,7,0,potato bay leaf thyme butter olive oil
Easy,0,6300,0,44,285,5,0.52,5,11,16.1,unsalted butter muscovado sugar egg banana pecan raisin buttermilk plain flour bicarbonate of soda icing sugar
Easy,0,1200,4,17,371,32,0.68,7,20,0,lamb olive oil red onion beetroot chickpea watercress coriander
Easy,0,0,4,21,152,3,0.9,1,7,1.4,shallot vegetable oil apple lime juice tomato peanut coriander garlic clove chilli sugar fish sauce lime
Easy,3600,1200,8,57,430,7,0.4,12,20,32,unsalted butter dried apricot orange golden caster sugar medium egg self-raising flour milk icing sugar
More effort,1320,2400,0,106,596,9,0.9,8,15,67,whole milk butter plain flour yeast golden caster sugar ground cinnamon mixed spice large egg vegetable oil butter golden caster sugar mincemeat dried apricot glac̩ cherry demerara sugar apricot jam icing sugar
Easy,2400,900,0,2,49,3,0.3,2,3,2,pineapple mint sesame seeds halloumi
Easy,900,300,8,26,454,6,0.16,18,35,25,milk cornflour double cream egg vanilla extract caster sugar Cointreau
Easy,1500,2700,8,80,553,6,0.3,14,22,41,butter golden caster sugar egg vanilla extract plain flour silver balls popping candy sugar paste icing sugar
Easy,1200,600,4,11,73,3,0.5,1,2,9,celeriac apple horseradish
A challenge,3600,1800,8,148,1024,11,1.89,26,44,100,sultana whiskey demerara sugar cooking apple butter cinnamon stick whipping cream egg plain flour butter sugar egg muscovado sugar salt lemon
More effort,3600,1500,6,62,679,23,2.7,15,38,2,potato mature cheddar breadcrumb spring onion egg shortcrust pastry flour Marmite
Easy,1500,300,4,6,229,37,0.49,2,7,2,chicken drumstick yogurt chilli powder cumin coriander turmeric
Easy,1800,1800,0,38,348,16,2.4,6,16,6,bread sausage baked beans cheddar egg
Easy,1500,600,4,56,510,28,0.7,6,19,5,basmati rice steak chilli sauce sesame oil garlic cloves spring onion chilli Savoy cabbage sesame seed
More effort,3600,2700,6,53,511,4,0.9,19,30,43,brown sugar vanilla pod lemon pear unsalted butter double cream sea salt sunflower oil cr̬me frąche milk egg plain flour
Easy,300,900,6,28,543,3,0.04,25,45,27,dark chocolate coffee brandy double cream golden caster sugar cocoa powder
More effort,4200,2700,6,40,537,36,1.8,11,24,9,potato cod full-fat milk bay leaf saffron olive oil butter onion fennel garlic cloves chorizo plain flour parsley king prawn green salad
Easy,1500,300,4,48,249,11,0.36,1,3,7,vegetable oil onion potato vegetable stock frozen pea mint
Easy,900,300,0,0.3,9,0.5,0.02,0.3,0.5,0.5,cauliflower cheddar milk
Easy,3600,300,6,41,229,5,0.07,1,6,3,potato olive oil bay leaf garlic thyme
Easy,0,900,4,47,192,2,0.02,,1,41,mango passion fruit mango
Easy,2700,2400,0,139,833,9,0.44,9,29,125,muscovado sugar butter dried fruit glac̩ cherry ginger orange rum pecan egg almond plain flour baking powder mixed spice cinnamon marzipan apricot icing icing sugar muffin almond sprinkle
Easy,2400,600,6,110,992,48,1.8,13,39,23,vegetable oil onion garlic clove clove cardamom pod turmeric cinnamon stick lamb stock cube basmati rice lamb raisin spring onion tomato parsley coriander flaked almond natural yogurt
Easy,2400,0,6,11,101,4,1.5,1,5,2,groundnut oil shallot black bean garlic root ginger green pepper rice wine chilli soy sauce caster sugar vegetable stock sesame
Easy,0,0,4,21,211,8,1.19,1,11,0,sunflower oil onion celery potato curry paste vegetable stock Brussels sprout natural yogurt
More effort,900,900,4,74,546,27,1.06,2,17,4,linguine extra-virgin olive oil red chilli garlic clove crab white wine lemon flat-leaf parsley
Easy,300,300,2,16,186,7,2,5,10,3,miso paste butter spinach soy sauce toast sesame seeds spring onion
Easy,120,600,1,17,201,,,,,17,gin lemon juice sugar syrup soda water
Easy,0,900,6,11,142,2,0.1,5,8,10,double cream Irish cream liqueur caramel milk vodka ice cream chocolate wafers fudge
Easy,0,900,0,1,17,1,0.1,,1,1,ricotta cheese Cashel Blue cheese spring onion cucumber grapes pecan pomegranate seeds thyme leaves
Easy,600,1200,0,9,45,,,,,9,blackberry red wine sugar vodka
More effort,720,8100,0,30,149,3,0.06,2,3,17,white bread caster sugar butter yeast milk egg mincemeat icing sugar caster sugar cinnamon
Easy,600,600,2,62,625,27,1.6,5,30,3,tagliatelle garlic clove lemon parsley rocket extra-virgin olive oil butter prawn chilli flakes
Easy,600,600,4,28,298,17,0.7,2,13,10,onion pepper olive oil red chilli quinoa cherry tomato black olive tuna
Easy,180,300,2,7,382,12,0.5,7,33,7,vegetable oil banana shallot runner bean garlic clove hazelnut oil hazelnuts lemon cheddar
Easy,1200,900,4,33.2,561,26.3,0.3,12.2,36.5,4.2,cumin seed garlic clove red chilli lemon olive oil lamb chop quinoa spring onion coriander broccoli
Easy,1800,900,2,68,371,10,0.5,1,5,19,butternut squash red onion red pepper harissa Greek yogurt olive oil onion garlic clove ginger red chilli kale basmati rice vegetable stock
Easy,1200,900,8,4,266,2,0.39,16,26,1,butter onion garlic clove thyme porcini chestnut mushroom brandy lemon parsley bread
Easy,0,2700,6,19,470,36,1.81,9,27,0,lamb thyme garlic clove dry sherry olive oil cherry tomato shallot paprika rocket chilli anchovy butter bean flatleaf parsley extra-virgin olive oil lemon
Easy,1800,1200,0,54,346,17,1.91,4,8,9,pumpkin chickpea garlic clove chilli flakes cumin parsley white bread carrot red onion feta cheese pitta bread
Easy,1800,3600,16,65,455,4,0.5,12,20,54,butter golden caster sugar egg lemon vanilla extract self-raising flour milk butter icing sugar vanilla extract milk icing sugar fondant icing ready-to-roll icing
Easy,300,900,4,42,260,19,1.9,,1,2,glass noodles vegetable oil spring onion lemongrass stalks king prawn mint coriander Thai basil cucumber bird's-eye chilli garlic clove lime fish sauce soft brown sugar
Easy,1500,300,4,30,449,34,1.22,8,22,18,pork barbecue sauce sweetcorn cucumber red chilli red onion lime
Easy,720,300,2,55,419,12,0.03,3,19,4,spaghetti broccoli olive oil shallot garlic clove chilli sage parmesan
Easy,1800,1200,4,53,621,23,3.53,12,37,16,bread sausage mustard egg olive oil red onion brown sugar red wine vinegar cheese
More effort,6300,1800,16,31,210,2.1,0.12,6,9.6,30,egg white caster sugar icing sugar
Easy,600,1800,0,20,220,1,0.24,10,16,18,butter golden caster sugar icing sugar egg yolk vanilla extract plain flour butter icing sugar custard food colouring
More effort,3600,1800,4,8,719,38,3.4,35,59,7,cod loin sea salt carrots swede chicken stock double cream parsley Dijon mustard lemon juice unsalted butter bacon lardons
Easy,0,0,4,64,636,25,0.98,18,33,0,penne cauliflower cr̬me frąche wholegrain mustard Red Leicester tomato
Easy,1500,1200,0,15,81,3,0.45,1,2,1,bread flour white bread yeast salt butter garlic clove prosciutto egg
Easy,0,0,6,42,262,5,0.9,6,9,5,self-raising flour salt butter golden caster sugar buttermilk milk flour strawberry
Easy,0,1500,4,66,567,42,0.34,5,16,0,haddock spice couscous unsalted butter onion pine nut sultana orange flatleaf parsley
More effort,6000,600,2,25,840,54,1.7,7,48,18,olive oil fennel seeds onion fennel bulb green chilli lemon garlic clove tomato squid white wine chicken stock parsley dill rice egg yolks garlic clove lemon squid ink sunflower oil
Easy,300,600,8,30.1,556,5.4,0.2,28.5,45.9,28.9,double cream Greek yoghurt lemon curd frozen mixed berry icing sugar cassis cinnamon meringue
Easy,1800,0,4,,,,,,,0,leek carrot onion celery fennel bulb garlic basil rock salt lemon white wine vinegar star anise dry white wine crab
Easy,0,600,0,1,17,1,,,1,0,coriander lemon juice green chilli mint pistachio garlic clove
Easy,600,600,0,10,,1,0.11,2,3,9,carrot butter caraway seed parsley
Easy,2100,600,0,14,432,19,3.8,15,33,5,orange honey red chicory olive oil vegetable stock cube polenta taleggio cheese sausage black olives chilli flakes
Easy,6600,2400,6,31,447,38,0.96,9,19,9,olive oil onion carrot garlic clove rump steak pork red wine tomato pur̩e plum tomato ground nutmeg basil leaf spinach egg ricotta flat-leaf parsley lasagne mozzarella parmesan cherry tomato basil leaf
Easy,6000,2700,0,40,486,15,0.9,17,29,6,butternut squash rapeseed oil onion potatoes pastry flour puff pastry breadcrumbs beetroot red pepper feta cheese peas parsley egg sesame seeds
Easy,0,600,2,38,256,1,,,,38,gooseberry caster sugar lemon elderflower cordial wine
Easy,2400,900,6,35,564,25,1.2,19,35,7,unsalted butter skinless boneless chicken thigh pancetta onion plain flour chicken stock tarragon wholegrain mustard double cream mashed potato olive oil
Easy,1500,600,2,9,215,30,2,1,7,7,vegetable oil ginger garlic clove onion fish sauce brown sugar chicken thigh chicken stock green bean coriander rice
A challenge,900,600,6,3,735,27,0.17,36,68,0,grapefruit hollandaise sauce basil bay leaf thyme onion wine salmon fillet
More effort,2400,1800,12,16,316,8,0.48,15,25,2,puff pastry asparagus spear mascarpone egg goat's cheese
Easy,300,600,4,3,242,5,0.3,4,23,2,olive oil lemon runner bean walnut half rocket parmesan
Easy,1320,1800,6,7,392,26,2,14,28,4,mustard seeds fennel seed chorizo rapeseed oil onion garlic cloves chicken stock broccoli gruy̬re double cream
More effort,1800,300,0,8,35,,,,,8,gooseberry sugar elderflower cordial
Easy,0,1800,0,95,593,8,0.4,8,21,84,cake honey marzipan egg white icing sugar glycerine dragee ribbon ribbon
Easy,900,1500,0,,212,25,0.89,6,13,0,garlic clove rosemary lamb ciabatta mayonnaise red onion tomato rocket
More effort,3600,3000,10,9,642,37,3.56,21,49,1,duck breast chicken breast pork tenderloin garlic clove thyme Armagnac olive oil goose fat streaky bacon sausagemeat double cream parsley tarragon thyme
Easy,300,300,1,22,318,7,0.2,10,16,21,whole milk white chocolate rum dark chocolate coconut flake
Easy,0,600,2,11,169,,,,,11,aquavit lemon apple juice ground cinnamon ice cube wine apple
Easy,1800,600,2,44,402,13,0.9,5,18,19,cucumber spring onion honey Chinese five-spice powder duck breasts plum agave syrup soy sauce Chinese five-spice powder plain flour rapeseed oil
Easy,1500,300,2,1,379,30,1.79,6,28,1,olive oil mushroom ham egg
Easy,4800,1800,4,58,624,23,1.28,16,33,9,potato butter milk flat mushroom olive oil butter onion plain flour Guinness mature cheddar English mustard egg rapeseed oil onion thyme leaf plain flour white wine vegetable stock Marmite
More effort,300,1200,0,71,609,7,,15,35,69,double cream icing sugar strawberry nectarine ice cream sorbet sunflower oil caster sugar macadamia nut strawberry icing sugar
Easy,0,900,0,,,,,,,0,amaretti biscuit ice cream
Easy,0,0,0,1,76,3,0.09,3,7,1,Greek yogurt spring onion dill extra-virgin olive oil
Easy,1500,600,4,26,325,34,0.7,1,7,8,bread olive oil onion garlic cloves chilli flakes chopped tomatoes white fish butter beans parsley lemon
Easy,1500,600,4,25,426,23,0.9,8,26,1,potato garlic clove egg olive oil goat's cheese pesto rocket basil
Easy,3000,1200,0,50,463,7,0.61,13,27,37,butter golden caster sugar egg self-raising flour ground almond baking powder milk elderflower cordial golden granulated sugar
More effort,12600,2100,8,49,831,44,2.2,22,50,4,plain flour English mustard powder lard butter egg braising steak plain flour English mustard powder rapeseed oil bacon lardons carrots onions bay leaves Worcestershire sauce tomato pur̩e beef stock thyme sprig blue cheese marrowbone
Easy,900,300,10,11,252,1,0.4,14,23,11,double cream butter light muscovado sugar sea salt
Easy,5400,600,4,7,288,4,0.6,16,26,4,butter garlic cloves thyme rosemary cauliflower
Easy,900,600,0,19,71,,0.1,,,19,strawberry sugar lemon unsalted butter
More effort,10800,1800,8,13,886,80,0.87,11,58,13,sunflower oil pork beef stock red wine olive oil tomato garlic clove carrot celery leek cumin fennel mint thyme bay leaf
Easy,3300,600,8,21,140,3,,1,4,1,potato turmeric sunflower oil ginger garlic clove fennel seed cayenne pepper
Easy,300,300,1,33,457,18,0.5,6,26,2,spinach watercress spring onion vegetable stock avocado rice lemon mixed seed
Easy,1200,300,4,18,440,26,0.9,5,29,2,chicken egg watercress chilli oil
Easy,3600,1800,0,15,57,,,,,10,rosehip caster sugar
Easy,1200,600,4,34,515,16,1.5,17,35,6,puff pastry plain flour goat's cheese herb courgette tomato black olive thyme sprig extra virgin olive oil egg olive oil red wine vinegar Dijon mustard clear honey watercress
Easy,300,600,4,22,202,1,,0.1,2,22,kirsch amaretto lemon orange madeira ice golden marzipan golden caster sugar orange cinnamon mixed spice ginger cocktail stick
More effort,5100,2400,8,78,833,12,0.81,21,55,43,shortcrust pastry plain flour pear lemon juice honey butter caster sugar ground almond self-raising flour flaked almond cardamom egg
Easy,3000,600,4,66,642,6,0.06,22,41,58,golden caster sugar cinnamon stick lemon zest star anise vanilla pod clove root ginger pear dark chocolate double cream milk ground cinnamon ice cream
Easy,3300,1200,8,41,253,3,0.28,6,10,30,wholemeal bread butter demerara sugar cinnamon plum caster sugar cornflour yogurt
Easy,5400,0,0,43,336,4,0.29,10,17,25,clear honey butter muscovado sugar egg self-raising flour
Easy,2700,1500,4,16,268,6,1.9,10,18,11,fenugreek seed coriander seed cardamom pod curry leaves sunflower oil turmeric ground cumin chilli powder ginger garlic cloves green chilli red onion cauliflower tomatoes coconut milk lime
Easy,3600,1200,0,63,535,12,0.3,4,23,31,sweet potato olive oil garlic clove banana shallot chickpea baby leaf spinach dill lemon Greek yogurt tahini pine nut pomegranate seed
Easy,600,600,4,30,454,30,0.69,5,45,0,pork steak plain flour egg breadcrumb hazelnut thyme lemon sunflower oil butter
Easy,600,300,4,26,502,29,1.9,14,31,4,croissant butter egg double cream chive smoked salmon black pepper
Easy,12000,1800,0,57,396,5,0.4,8,16,46,clementine lemon orange blossom water rosewater clear honey glac̩ cherry mixed peel dried apricot sultana cranberry mango butter golden caster sugar light muscovado sugar egg plain flour ground almond ground cinnamon orange blossom water orange juice
Easy,2100,900,2,12,274,4,0.04,3,24,8,aubergine coriander seed cumin seed olive oil parsley Greek yogurt seed
Easy,300,600,6,14,109,3,0.46,1,5,2,vegetable oil sweetcorn kidney bean salad leaf tortilla chip cream sugar lime
Easy,0,0,6,44,172,1,0.02,,,18,lychee lemongrass golden caster sugar fruit grape macaroon
Easy,600,300,2,16,250,6,0.7,11,18,4,butter radish lemon juice toast labneh sumac
Easy,0,0,2,11,287,27,0.26,3,14,0,groundnut oil liver leek red pepper chilli oregano garlic clove spring green orange sherry
Easy,2700,900,12,76,569,8,0.8,16,28,45,butter caster sugar egg orange milk self-raising flour milk chocolate dark chocolate white chocolate silver ball
More effort,0,0,6,59,794,8,0.42,34,59,39,plain flour ground almond butter caster sugar egg yolk dark chocolate egg white golden caster sugar double cream brandy double cream raspberry blueberry icing sugar
More effort,3000,1200,12,30,470,5,0.2,20,35,21,shortcrust pastry plain flour double cream vanilla pod eggs caster sugar Baileys honeycomb
Easy,3600,1200,6,48,466,11,0.9,9,22,21,turnip parsnip swede dukkah olive oil pitta bread sumac parsley mint red chilli pomegranate seed butter lemon natural yogurt
Easy,0,0,6,,,,,,,0,red onion tomato olive oil garlic clove thyme
Easy,900,600,6,70,582,14,0.2,4,29,3,chestnut mint parmesan garlic clove rapeseed oil pasta olive oil chestnut mushroom
Easy,0,0,4,35,473,37,1.4,8,20,8,quinoa butter red chilli garlic clove chicken extra-virgin olive oil vine tomato black Kalamata olive red onion feta cheese mint lemon
Easy,1380,600,4,46,525,26,1.7,10,25,4,potato sauce king prawn baby spinach
Easy,2400,600,6,27,277,5,0.4,9,17,6,butter honey tomato ketchup garlic clove harissa corn
Easy,2100,1200,2,83,864,19,0.94,21,51,17,butternut squash olive oil vegetable stock butter onion celery garlic clove bay leaf thyme leaf risotto rice white wine parmesan
Easy,300,900,4,10,181,21,0.7,1,6,1,extra-virgin olive oil garlic clove mint prawn breadcrumb lemon
